년도,분기,상권유형,상권,추정매출_금액,추정매출_건수,추정매출_금액_주중주말_주중,추정매출_금액_주중주말_주말,추정매출_금액_요일별_월,추정매출_금액_요일별_화,추정매출_금액_요일별_수,추정매출_금액_요일별_목,추정매출_금액_요일별_금,추정매출_금액_요일별_토,추정매출_금액_요일별_일,추정매출_금액_시간대별_00-06,추정매출_금액_시간대별_06-11,추정매출_금액_시간대별_11-14,추정매출_금액_시간대별_14-17,추정매출_금액_시간대별_17-21,추정매출_금액_시간대별_21-24,추정매출_금액_성별_남성,추정매출_금액_성별_여성,추정매출_금액_연령대별_10대,추정매출_금액_연령대별_20대,추정매출_금액_연령대별_30대,추정매출_금액_연령대별_40대,추정매출_금액_연령대별_50대,추정매출_금액_연령대별_60이상,추정매출_건수_주중주말_주중,추정매출_건수_주중주말_주말,추정매출_건수_요일별_월,추정매출_건수_요일별_화,추정매출_건수_요일별_수,추정매출_건수_요일별_목,추정매출_건수_요일별_금,추정매출_건수_요일별_토,추정매출_건수_요일별_일,추정매출_건수_시간대별_00-06,추정매출_건수_시간대별_06-11,추정매출_건수_시간대별_11-14,추정매출_건수_시간대별_14-17,추정매출_건수_시간대별_17-21,추정매출_건수_시간대별_21-24,추정매출_건수_성별_남성,추정매출_건수_성별_여성,추정매출_건수_연령대별_10대,추정매출_건수_연령대별_20대,추정매출_건수_연령대별_30대,추정매출_건수_연령대별_40대,추정매출_건수_연령대별_50대,추정매출_건수_연령대별_60이상,소득_금액_월평균,소득_구간,지출_금액,지출_금액_식료품,지출_금액_의류,지출_금액_생활용품,지출_금액_의료,지출_금액_교통,지출_금액_여가,지출_금액_문화,지출_금액_교육,지출_금액_유흥,상주인구,상주인구_성별_남성,상주인구_성별_여성,상주인구_연령대별_10대,상주인구_연령대별_20대,상주인구_연령대별_30대,상주인구_연령대별_40대,상주인구_연령대별_50대,상주인구_연령대별_60이상,상주인구_가구,상주인구_가구_아파트,상주인구_가구_비아파트,생활인구,생활인구_성별_남성,생활인구_성별_여성,생활인구_연령대별_10대,생활인구_연령대별_20대,생활인구_연령대별_30대,생활인구_연령대별_40대,생활인구_연령대별_50대,생활인구_연령대별_60이상,생활인구_시간대별_00-06,생활인구_시간대별_06-11,생활인구_시간대별_11-14,생활인구_시간대별_14-17,생활인구_시간대별_17-21,생활인구_시간대별_21-24,생활인구_요일별_월,생활인구_요일별_화,생활인구_요일별_수,생활인구_요일별_목,생활인구_요일별_금,생활인구_요일별_토,생활인구_요일별_일,직장인구,직장인구_성별_남성,직장인구_성별_여성,직장인구_연령대별_10대,직장인구_연령대별_20대,직장인구_연령대별_30대,직장인구_연령대별_40대,직장인구_연령대별_50대,직장인구_연령대별_60이상,아파트_단지수,아파트_면적_평균,아파트_시가_평균,상권변화지표,상권변화지표_영업개월평균_운영_상권,상권변화지표_영업개월평균_폐업_상권,상권변화지표_영업개월평균_운영_서울,상권변화지표_영업개월평균_폐업_서울
2018,3,D,2120189,9771542396,15226,9751980577,19561819,2282780571,3072890539,-2366444925,2268470202,4494284190,8764605,10797214,0,456571533,6513898970,2200926090,600145803,0,3354651235,5767766153,0,46550968,311574758,1198160869,6932831046,633299749,15216,10,6803,1411,2071,2217,2714,5,5,0,1968,2425,7610,3223,0,5939,5817,0,46,1242,1808,6140,2526,4773839.0,8.0,4492606522.0,994784013.0,571222982.0,399480668.0,476671936.0,785377298.0,224915399.0,138263730.0,714325793.0,187564703.0,5542,2600,2942,510,1142,1518,888,703,781,3425,440,2985,7850679,3906347,3944334,878325,2674978,1744943,1170362,673091,708981,913164,1391192,1413285,1491208,1830127,811705,1149000,1208826,1204493,1261481,1297109,998487,731282,87524,42299,45225,588,20464,27897,21068,11547,5960,37,73,305564981,LL,88,48,104,52
2018,1,D,2120173,223068634120,240375,213494266611,9574367509,58822177690,34770169843,60059542142,29608507022,30233869914,3977056598,5597310911,0,11266739354,92636605656,57888406208,54881982621,6394900281,96636410968,95799938200,0,20532365259,46030959487,54799961271,39148926761,31924136397,233197,7178,55215,47026,46696,44669,39591,5378,1800,0,18658,74616,79486,64128,3487,78556,88818,0,14244,41546,40055,38671,32863,5402962.0,9.0,4003432001.0,868787461.0,510635617.0,325083191.0,437661474.0,704302523.0,201065402.0,114691710.0,675457275.0,165747348.0,4935,2336,2599,719,809,948,891,696,872,2472,321,2151,4843982,2539203,2304780,507394,827501,923974,882241,674097,1028775,646421,934106,872437,881021,1022121,487876,747231,777631,774460,729812,738957,562037,513855,24590,13146,11444,140,4856,7510,6086,3640,2358,44,75,285988027,HH,107,55,102,52
2018,4,D,2120189,8038710827,9338,8024448696,14262131,198744074,1327673503,437097520,1910619965,4150313634,1447183,12814948,0,441980035,533738951,5618218491,1444773350,0,7391559491,497530189,0,12252611,227751245,2073811965,5241280124,333993737,9326,12,1723,1905,1174,2227,2297,6,6,0,1045,1961,2960,3372,0,6070,2694,0,27,1819,2802,3052,1067,4798135.0,8.0,4492606522.0,994784013.0,571222982.0,399480668.0,476671936.0,785377298.0,224915399.0,138263730.0,714325793.0,187564703.0,5780,2716,3064,635,1253,1507,902,703,780,3673,454,3219,7463032,3726671,3736361,649568,2461870,1789364,1178752,672563,710914,905000,1302530,1323477,1402336,1737911,791780,1108183,1105917,1135867,1176657,1222046,986346,728018,89886,43197,46689,749,22038,28163,21146,11787,6003,37,73,305564981,LL,90,48,106,53
2018,1,D,2120235,1151630608,3374,1143758592,7872016,216074512,226474096,78941938,392060777,230207269,7872016,0,0,24274059,390402498,672264750,64689301,0,489765968,444138728,0,159322298,147135155,205898729,378922034,42626476,3358,16,599,573,238,1385,563,16,0,0,53,638,2328,355,0,1080,1700,0,352,1221,606,569,32,3081157.0,7.0,280509308.0,67777265.0,33775570.0,19889809.0,33236138.0,49259991.0,9871238.0,8164740.0,46524078.0,12010479.0,1362,637,725,131,312,442,216,136,125,892,36,856,443363,228171,215194,43257,80203,102905,78851,65262,72887,76037,92518,72277,72555,84675,45303,67505,68252,68027,65515,65823,55465,52777,28103,18343,9760,140,5460,8982,6982,4109,2430,11,60,213293831,LL,33,31,102,52
2018,4,D,2120173,216489875497,203677,203044351561,13445523936,57078943570,55719795609,28570629524,38415689951,23259292907,7720419286,5725104650,0,13583622725,76068788638,83930692044,41601594587,1305177503,101077859138,79535144697,0,5801906533,24929513143,53995590149,62639814186,33246179833,194346,9331,56374,35207,36564,34395,31806,5110,4221,0,14303,53816,78653,53628,3277,84064,86634,0,11396,50945,32995,45486,29892,5277367.0,9.0,4003432001.0,868787461.0,510635617.0,325083191.0,437661474.0,704302523.0,201065402.0,114691710.0,675457275.0,165747348.0,4767,2330,2437,683,855,949,821,682,777,2593,318,2275,4621044,2409415,2211628,499263,762925,865270,845033,668127,980425,654069,886552,816831,821466,969895,472231,702291,694357,715810,733561,733201,553874,487950,24458,12749,11709,72,4612,7265,6164,3832,2513,44,75,285988027,HH,112,55,106,53
2017,2,D,2120173,165715564919,164674,163418964614,2296600305,33708576429,28231478402,42766062854,46235675393,12477171536,2019587351,277012954,40940961,21903927348,41038463723,41987703769,45304323367,15440205751,90692874146,45624892342,315574,4266373333,45498742425,21075593395,24966114526,40510627233,162137,2537,44423,29325,28557,37480,22352,827,1710,16,16780,40180,72146,32125,3427,69417,43333,11,7939,29595,28911,29295,16992,5328447.0,9.0,2550889905.0,619490379.0,320013605.0,202053133.0,305139072.0,426238584.0,113764447.0,78864057.0,377497844.0,107828784.0,4959,2343,2616,676,853,971,866,717,876,2518,323,2195,4834553,2549798,2284755,561618,842438,899443,859683,639360,1032011,696591,960980,855423,849662,986421,485477,748481,734025,764698,761250,750161,569782,506156,23947,12810,11137,107,4492,7399,5955,3639,2355,57,75,302941032,HH,102,54,98,51
2017,3,D,2120173,115258065551,165983,112021825825,3236239726,22102784985,31351117040,14973196423,22654039467,20940687910,1136979300,2099260426,325616440,8257488650,52206888577,41303291975,12979085193,185694716,49923193409,40659486551,0,10467290849,17351512774,16639282120,17894550991,28230043219,161820,4163,35026,28439,30278,30707,37370,861,3302,1628,21042,58497,58137,26487,192,59052,44337,0,15646,21077,23309,22118,21245,5328447.0,9.0,4003432001.0,868787461.0,510635617.0,325083191.0,437661474.0,704302523.0,201065402.0,114691710.0,675457275.0,165747348.0,4959,2343,2616,676,853,971,866,717,876,2518,323,2195,5049585,2659833,2389751,594228,905197,927285,905644,661764,1055468,694554,1000671,905796,906510,1042813,499243,779392,781116,795446,796483,793566,580077,523507,23947,12810,11137,107,4492,7399,5955,3639,2355,57,75,302941032,HH,103,54,99,51
2018,3,D,2120173,316404668532,264477,305272465837,11132202695,74632568472,60187199573,54258665776,44362157472,71831874544,10830934251,301268444,0,23849885836,88664614237,115426257956,67092504951,21371405552,186419481670,109678066940,3891692,18783999958,104960348497,93326177095,59543263616,19479867764,259194,5283,56203,48598,45933,48585,59875,5086,197,0,11847,68004,108618,69475,6533,133729,100124,18,25758,89536,58611,42485,17450,5251251.0,9.0,4003432001.0,868787461.0,510635617.0,325083191.0,437661474.0,704302523.0,201065402.0,114691710.0,675457275.0,165747348.0,4038,1938,2100,444,699,902,679,576,738,2286,323,1963,4716964,2471067,2245896,609210,799720,856888,845105,649679,956362,641211,918601,842996,849368,986475,478314,710508,728448,719758,754326,751193,558586,494144,25044,13235,11809,94,4555,7709,6258,3882,2546,44,75,285988027,HH,110,55,104,52
2017,3,D,2120125,2673989287,4683,2673989287,0,530084712,855394800,544122634,422597786,321789355,0,0,0,965155919,653324016,1028647943,26861409,0,1580137006,297512171,0,0,150254984,86236996,844962103,796195092,4683,0,790,1460,1521,219,693,0,0,0,1235,2408,999,41,0,2261,922,0,0,174,256,1533,1220,3752410.0,8.0,1342257480.0,305857888.0,170021321.0,110012287.0,150811064.0,233014025.0,68325298.0,38694408.0,210681824.0,54839365.0,2263,1153,1110,300,380,570,386,306,321,1120,0,1120,622678,317544,305135,63106,101709,118533,108981,98816,131533,89426,134570,99402,103449,130945,64887,90533,90787,92684,92055,93465,85630,77525,21872,12701,9171,63,2987,6925,5885,4067,1945,5,84,215325712,HH,110,54,99,51
2017,3,D,2120149,5235625375,16940,5098027824,137597551,2860933472,170144287,1379353467,221544929,466051669,137597551,0,0,34414483,679791855,1537892432,2978962289,4564316,4571732845,446224375,0,60366725,831604507,1465400009,1067798788,1592787193,16023,917,3646,1619,4472,2120,4166,917,0,0,192,5170,4707,6850,21,11554,4458,0,969,7385,4265,1299,2094,6487543.0,9.0,1447281665.0,358764377.0,178461279.0,109536266.0,190120343.0,260563864.0,56608192.0,41976429.0,187640526.0,63610389.0,2811,1355,1456,450,365,396,450,505,645,1049,985,64,1596869,913034,683835,87595,278019,457270,350807,190746,232433,150927,354974,322623,319251,325180,123913,266101,265445,272800,274961,265857,138775,112929,112019,68081,43938,421,17488,38705,34367,15340,5698,3,146,726827975,HL,106,49,99,51
