자치구,행정동,상권코드,상권명,상권분류,면적(㎡)
용산구,이태원 1 동,3001491.0,이태원 관광특구,관광특구,372565.0
중구,소공동,3001492.0,"명동 남대문 북창동 다동
무교동 관광특구",관광특구,983618.0
중구,광희동,3001493.0,동대문패션타운 관광특구,관광특구,606058.0
종로구,종로 1·2·3·4 가동,3001494.0,종로·청계 관광특구,관광특구,653127.0
송파구,오륜동,3001495.0,잠실 관광특구,관광특구,2462734.0
강남구,삼성 1 동,3001496.0,강남 마이스 관광특구,관광특구,237892.0
종로구,평창동,3110001.0,이북 5 도청사,골목상권,108529.0
종로구,무악동,3110002.0,독립문역 1 번,골목상권,31531.0
종로구,부암동,3110003.0,세검정초등학교,골목상권,191570.0
종로구,무악동,3110004.0,대신고등학교,골목상권,18781.0
종로구,부암동,3110005.0,세검정,골목상권,244923.0
종로구,부암동,3110006.0,부암동주민센터,골목상권,91486.0
종로구,사직동,3110007.0,사직공원 (한국사회과학도서관),골목상권,80252.0
종로구,청운효자동,3110008.0,"배화여자대학교
(박노수미술관)",골목상권,149264.0
종로구,부암동,3110009.0,자하문터널,골목상권,178306.0
종로구,평창동,3110010.0,평창동서측,골목상권,369415.0
종로구,청운효자동,3110011.0,청운초등학교,골목상권,26913.0
종로구,사직동,3110012.0,성곡미술관,골목상권,124348.0
종로구,사직동,3110013.0,체부동홍종문가옥,골목상권,17064.0
종로구,청운효자동,3110014.0,경복고등학교,골목상권,63411.0
종로구,청운효자동,3110015.0,청와대사랑채,골목상권,69399.0
종로구,평창동,3110016.0,평창동동측,골목상권,522818.0
종로구,가회동,3110017.0,정독도서관,골목상권,83855.0
종로구,가회동,3110018.0,중앙고등학교,골목상권,166872.0
종로구,종로 1·2·3·4 가동,3110019.0,창덕궁,골목상권,40999.0
종로구,혜화동,3110020.0,서울국제고등학교,골목상권,133692.0
종로구,혜화동,3110021.0,성균관대학교,골목상권,77655.0
종로구,혜화동,3110022.0,경신고등학교,골목상권,60182.0
종로구,이화동,3110023.0,서울대병원,골목상권,15969.0
종로구,혜화동,3110024.0,혜회동주민센터,골목상권,52850.0
종로구,종로 5·6 가동,3110025.0,충신시장옆,골목상권,39184.0
종로구,종로 5·6 가동,3110026.0,종로 5 가역 4 번,골목상권,16485.0
종로구,이화동,3110027.0,혜화역 1 번,골목상권,117673.0
종로구,이화동,3110028.0,이화달팽이길,골목상권,159124.0
종로구,창신 2 동,3110029.0,동대문역 1 번,골목상권,153230.0
종로구,창신 1 동,3110030.0,동대문역 3 번,골목상권,9161.0
종로구,창신 3 동,3110031.0,창신역 1 번,골목상권,32878.0
종로구,창신 1 동,3110032.0,수족관거리,골목상권,9323.0
종로구,숭인 1 동,3110033.0,창신역 4 번,골목상권,77869.0
종로구,창신 1 동,3110034.0,창신 1 동주민센터,골목상권,29604.0
종로구,숭인 2 동,3110035.0,동묘앞역 2 번,골목상권,95779.0
종로구,숭인 2 동,3110036.0,동묘앞역 3 번,골목상권,18431.0
종로구,숭인 2 동,3110037.0,신설동역 12 번,골목상권,55232.0
중구,소공동,3110038.0,경향신문사,골목상권,36893.0
중구,회현동,3110039.0,회현역 1 번,골목상권,9928.0
중구,회현동,3110040.0,"중구회현체육센터
(정화예술대남산캠퍼스)",골목상권,76242.0
중구,명동,3110041.0,남산케이블카,골목상권,130560.0
중구,필동,3110042.0,남산골공원옆,골목상권,72607.0
중구,장충동,3110043.0,충무초등학교,골목상권,110058.0
중구,장충동,3110044.0,관성묘,골목상권,29575.0
중구,장충동,3110045.0,동대문역사문화공원역 5 번,골목상권,44820.0
중구,다산동,3110046.0,버티고개,골목상권,58013.0
중구,다산동,3110047.0,다산성곽길,골목상권,85386.0
중구,장충동,3110048.0,장충동주민센터,골목상권,135606.0
중구,다산동,3110049.0,장충단 고개,골목상권,70693.0
중구,약수동,3110050.0,약수역 7 번,골목상권,34553.0
중구,신당동,3110051.0,한양공고앞 교차로,골목상권,44893.0
중구,다산동,3110052.0,장충초등학교,골목상권,68893.0
중구,신당동,3110053.0,청구역 1 번,골목상권,85550.0
중구,청구동,3110054.0,청구역 3 번,골목상권,69155.0
중구,황학동,3110055.0,황학동벼룩시장,골목상권,27575.0
중구,신당 5 동,3110056.0,신당역 3 번,골목상권,129607.0
중구,황학동,3110057.0,황학코아루아파트,골목상권,30230.0
용산구,원효로 2 동,3110058.0,성심여자고등학교,골목상권,135620.0
용산구,이촌 2 동,3110059.0,새남터성지,골목상권,56970.0
용산구,용문동,3110060.0,효창공원앞역 6 번,골목상권,94719.0
용산구,효창동,3110061.0,효창동주민센터,골목상권,100249.0
용산구,한강로동,3110062.0,"한강로동땡땡거리
(은행나무길)",골목상권,132684.0
용산구,용문동,3110063.0,효창공원앞역 5 번,골목상권,110329.0
용산구,효창동,3110064.0,효창공원앞역 2 번,골목상권,131550.0
용산구,원효로 1 동,3110065.0,남정초등학교,골목상권,18065.0
용산구,청파동,3110066.0,서울역 15 번,골목상권,133737.0
용산구,청파동,3110067.0,배문고등학교,골목상권,204936.0
용산구,원효로 1 동,3110068.0,남영역 1 번,골목상권,145312.0
용산구,청파동,3110069.0,숙대입구,골목상권,173542.0
용산구,한강로동,3110070.0,용산세무서,골목상권,8437.0
